price,brand,color,storage,system,processor_type,resolution,size
18142,oppo,blue,128,android,unknown,HD,6.6
30900,samsung,black,128,android,qualcomm,4K,6.7
22890,xiaomi,black,128,android,qualcomm,4K,6.5
19463,vivo,black,256,android,mediatek,Full HD,6.8
9999,motorola,green,64,android,qualcomm,Full HD,6.5
9999,motorola,gold,32,android,mediatek,HD,5.5
27537,vivo,black,128,android,mediatek,Full HD,6.8
8449,tecno,purple,64,android,mediatek,Full HD,6.6
5537,vivo,blue,256,android,mediatek,Full HD,6.8
18990,oppo,blue,64,android,mediatek,HD,6.5
12536,samsung,green,128,android,unknown,Full HD,6.1
10999,infinix,purple,64,android,mediatek,HD,6.8
31990,oppo,black,256,android,mediatek,Full HD,6.4
14990,redmi,gold,128,android,qualcomm,Full HD,6.7
15636,apple,silver,64,ios,apple,Full HD,5.5
11999,redmi,grey,64,android,qualcomm,HD,5.5
8598,tecno,blue,64,android,mediatek,HD,6.6
15990,oppo,green,64,android,mediatek,HD,6.2
8450,tecno,blue,64,android,mediatek,4K,6.6
9999,vivo,gold,64,android,mediatek,HD,6.5
15964,apple,red,256,ios,apple,HD,4.7
30163,apple,silver,64,ios,apple,Full HD,6.5
8499,realme,black,32,android,mediatek,HD,6.2
9490,vivo,white,32,android,mediatek,HD,6.5
13828,apple,gold,512,ios,apple,Full HD,6.5
8999,infinix,black,64,android,unisoc,HD,6.8
13245,oppo,green,64,android,unknown,HD,6.6
23990,oppo,green,128,android,mediatek,4K,6.5
14999,infinix,blue,128,android,mediatek,Full HD,6.7
6499,realme,green,32,android,unisoc,HD,6.5
6490,samsung,blue,32,android,mediatek,HD,5.3
14537,apple,black,64,ios,apple,Full HD,5.4
10537,mi,green,128,android,qualcomm,Full HD,6.7
23990,vivo,black,64,android,qualcomm,Full HD,6.3
14490,redmi,white,64,android,unknown,Full HD,6.5
12499,samsung,black,64,android,samsung,HD,6.5
27250,vivo,blue,256,android,mediatek,Full HD,6.4
13990,vivo,blue,64,android,qualcomm,HD,6.3
5537,vivo,black,256,android,qualcomm,2K,6.8
73,apple,black,256,ios,apple,Full HD,6.1
25546,vivo,black,256,android,mediatek,Full HD,6.6
12990,samsung,green,64,android,unknown,Full HD,6.4
29990,oppo,grey,128,android,mediatek,Full HD,6.5
11172,apple,gold,128,ios,apple,Full HD,6.1
30537,oneplus,blue,128,android,qualcomm,Full HD,6.5
14120,redmi,silver,64,android,unknown,Full HD,6.6
4999,samsung,blue,16,android,mediatek,HD,5.3
18999,realme,blue,128,android,qualcomm,Full HD,6.7
25546,mi,green,256,android,qualcomm,Full HD,6.7
16490,samsung,silver,128,android,unknown,4K,6.6
11999,redmi,blue,32,android,qualcomm,Full HD,6.3
8299,redmi,blue,32,android,qualcomm,HD,6.2
23537,vivo,grey,256,android,qualcomm,Full HD,6.6
26364,apple,black,256,ios,apple,HD,6.1
20999,realme,black,256,android,unknown,Full HD,6.4
22663,apple,silver,256,ios,apple,Full HD,6.1
24463,samsung,gold,128,android,qualcomm,Full HD,6.7
11490,redmi,blue,64,android,mediatek,Full HD,6.5
15546,samsung,red,64,android,samsung,2K,5.8
31899,oneplus,black,128,android,unknown,Full HD,6.5
29463,samsung,gold,256,android,qualcomm,Full HD,6.7
7199,realme,green,32,android,unisoc,HD,6.5
27546,vivo,black,128,android,qualcomm,Full HD,6.6
13990,samsung,green,128,android,samsung,Full HD,6.6
27990,samsung,black,128,android,samsung,Full HD,6.4
11990,oppo,blue,64,android,qualcomm,HD,6.5
21999,oneplus,blue,128,android,unknown,4K,6.4
11990,oppo,black,64,android,mediatek,HD,6.5
7499,infinix,gold,16,android,mediatek,HD,5.5
12730,samsung,green,64,android,unknown,HD,6.5
16990,oppo,gold,64,android,qualcomm,HD,6.2
23990,redmi,black,128,android,unknown,Full HD,6.7
25037,vivo,blue,256,android,mediatek,Full HD,6.8
31073,apple,purple,512,ios,apple,Full HD,6.1
20464,samsung,green,256,android,samsung,Full HD,6.7
29999,oneplus,grey,128,android,unknown,Full HD,6.4
20880,oppo,black,128,android,qualcomm,Full HD,6.4
9999,infinix,silver,64,android,mediatek,Full HD,6.6
24463,apple,blue,256,ios,apple,Full HD,6.7
11195,samsung,green,64,android,unknown,Full HD,6.6
32546,apple,red,128,ios,apple,HD,4.7
21199,vivo,green,128,android,qualcomm,Full HD,6.4
24990,samsung,blue,128,android,qualcomm,Full HD,6.5
15499,motorola,blue,128,android,qualcomm,Full HD,6.5
18990,oppo,gold,64,android,mediatek,HD,5.5
28999,redmi,white,128,android,qualcomm,Full HD,6.4
19864,apple,black,256,ios,apple,Full HD,5.5
19977,realme,black,128,android,unknown,Full HD,6.4
6463,apple,red,256,ios,apple,Full HD,5.4
25999,samsung,white,128,android,samsung,Full HD,6.4
8537,apple,green,128,ios,apple,Full HD,6.1
7463,samsung,white,128,android,unknown,4K,6.6
20990,oppo,white,128,android,qualcomm,Full HD,6.5
30990,oppo,gold,64,android,qualcomm,Full HD,6.0
24490,samsung,silver,128,android,unknown,Full HD,6.5
10649,redmi,grey,32,android,qualcomm,Full HD,5.5
14999,tecno,black,256,android,mediatek,Full HD,6.8
18927,motorola,black,128,android,qualcomm,HD,6.2
18537,apple,purple,128,ios,apple,HD,6.1
5073,apple,gold,512,ios,apple,Full HD,6.1
29537,vivo,black,128,android,mediatek,Full HD,6.6
29537,vivo,blue,128,android,mediatek,Full HD,6.6
24472,apple,silver,64,ios,apple,Full HD,5.8
8999,redmi,blue,64,android,mediatek,HD,6.5
11975,samsung,white,64,android,samsung,HD,6.5
30373,apple,silver,256,ios,apple,Full HD,5.8
20499,samsung,black,128,android,mediatek,HD,6.4
10990,oppo,silver,64,android,mediatek,HD,6.2
12999,vivo,black,128,android,mediatek,Full HD,6.6
10849,tecno,black,64,android,mediatek,4K,6.9
14999,redmi,black,64,android,qualcomm,Full HD,6.0
23899,vivo,blue,128,android,unknown,Full HD,6.4
8828,apple,silver,256,ios,apple,Full HD,6.7
14999,realme,white,64,android,mediatek,Full HD,6.5
1463,apple,green,256,ios,apple,Full HD,6.1
10499,redmi,blue,32,android,qualcomm,HD,6.0
11172,apple,blue,128,ios,apple,Full HD,6.1
537,samsung,black,128,android,unknown,Full HD,6.1
16990,vivo,blue,64,android,mediatek,HD,6.5
12520,tecno,grey,128,android,mediatek,HD,6.8
5999,redmi,blue,16,android,qualcomm,HD,5.0
20990,vivo,white,128,android,qualcomm,4K,6.4
14999,tecno,white,256,android,mediatek,Full HD,6.8
32999,oppo,blue,256,android,mediatek,Full HD,6.7
27499,samsung,white,128,android,qualcomm,Full HD,6.4
16999,redmi,white,64,android,mediatek,Full HD,6.5
14999,realme,blue,64,android,mediatek,Full HD,6.6
24463,apple,purple,256,ios,apple,Full HD,6.7
13499,samsung,blue,128,android,mediatek,HD,6.4
13990,vivo,blue,64,android,mediatek,HD,6.5
15490,vivo,white,64,android,qualcomm,HD,6.5
11464,apple,grey,256,ios,apple,HD,4.7
15499,vivo,green,128,android,mediatek,HD,6.5
26037,oneplus,black,128,android,unknown,Full HD,6.7
29990,oneplus,blue,128,android,unknown,Full HD,6.7
13990,vivo,blue,64,android,mediatek,HD,6.3
19728,apple,grey,512,ios,apple,Full HD,6.5
6950,tecno,blue,32,android,mediatek,HD,6.5
14999,vivo,blue,128,android,qualcomm,Full HD,6.6
23636,apple,white,16,ios,apple,HD,4.0
6455,redmi,green,32,android,unknown,Full HD,6.5
16999,redmi,gold,64,android,qualcomm,Full HD,6.0
31633,oneplus,grey,128,android,unknown,4K,6.7
14599,mi,black,64,android,qualcomm,Full HD,5.5
16999,vivo,black,64,android,qualcomm,HD,6.5
20537,tecno,grey,256,android,mediatek,4K,6.8
9537,apple,silver,128,ios,apple,HD,4.7
18900,samsung,white,64,android,samsung,Full HD,6.4
10999,redmi,black,128,android,mediatek,Full HD,6.6
5999,infinix,black,32,android,mediatek,HD,6.6
6999,redmi,gold,32,android,qualcomm,HD,5.0
30990,mi,black,256,android,qualcomm,Full HD,6.7
8999,infinix,white,128,android,mediatek,HD,6.6
28546,apple,silver,16,ios,apple,HD,4.7
8699,tecno,purple,64,android,unisoc,HD,6.6
10499,samsung,black,64,android,samsung,HD,6.5
8999,infinix,black,128,android,mediatek,HD,6.6
13499,vivo,blue,64,android,mediatek,HD,6.5
20999,redmi,blue,256,android,qualcomm,Full HD,6.7
20999,redmi,white,128,android,qualcomm,Full HD,6.7
12331,redmi,white,128,android,unknown,Full HD,6.5
9999,realme,gold,128,android,unisoc,HD,6.7
10999,infinix,purple,64,android,mediatek,Full HD,7.0
6499,realme,black,32,android,unisoc,HD,6.5
10999,redmi,blue,32,android,qualcomm,Full HD,6.0
32537,oppo,silver,256,android,mediatek,Full HD,6.7
537,samsung,black,128,android,unknown,Full HD,6.1
13990,oppo,blue,32,android,mediatek,HD,6.2
17990,oppo,white,128,android,qualcomm,Full HD,6.5
23999,xiaomi,black,128,android,mediatek,Full HD,6.7
16999,redmi,white,64,android,mediatek,Full HD,6.4
18999,redmi,blue,128,android,qualcomm,Full HD,6.7
8999,tecno,blue,64,android,unknown,HD,6.6
7310,redmi,blue,64,android,unknown,Full HD,6.5
21073,apple,blue,512,ios,apple,Full HD,6.7
13990,samsung,purple,128,android,mediatek,Full HD,6.6
24999,realme,black,256,android,mediatek,Full HD,6.7
9999,infinix,purple,64,android,mediatek,HD,6.8
24990,oppo,red,64,android,mediatek,Full HD,6.0
22990,oppo,silver,64,android,mediatek,Full HD,6.2
12499,oppo,black,64,android,mediatek,HD,6.6
12990,oppo,black,64,android,unknown,HD,6.5
25989,samsung,blue,128,android,qualcomm,Full HD,6.5
8590,oppo,red,32,android,mediatek,HD,6.1
27990,oppo,black,128,android,mediatek,Full HD,6.2
1172,apple,blue,256,ios,apple,Full HD,6.1
828,apple,gold,256,ios,apple,Full HD,6.5
7499,redmi,black,64,android,unknown,Full HD,6.5
10999,realme,gold,64,android,unisoc,HD,6.7
13990,vivo,black,32,android,mediatek,HD,6.1
12999,realme,red,128,android,qualcomm,HD,6.5
10999,realme,black,64,android,unisoc,HD,6.7
15990,redmi,blue,128,android,mediatek,Full HD,6.6
21000,samsung,blue,64,android,samsung,4K,6.4
25999,samsung,green,128,android,samsung,Full HD,6.7
21199,redmi,black,128,android,unknown,Full HD,6.6
8590,oppo,black,32,android,unknown,HD,6.1
15999,motorola,blue,64,android,qualcomm,Full HD,6.3
17499,mi,white,128,android,qualcomm,HD,6.1
7799,tecno,black,64,android,unknown,HD,6.6
30537,oneplus,blue,256,android,unknown,4K,6.4
30546,vivo,gold,128,android,mediatek,Full HD,6.6
25990,vivo,black,128,android,mediatek,Full HD,6.4
10699,realme,black,128,android,unisoc,Full HD,6.6
32999,oppo,blue,256,android,mediatek,Full HD,6.7
6463,apple,blue,256,ios,apple,Full HD,5.4
13430,tecno,white,128,android,mediatek,Full HD,6.8
19990,vivo,black,128,android,mediatek,4K,6.4
16990,vivo,black,128,android,qualcomm,Full HD,6.6
9499,redmi,green,32,android,mediatek,HD,6.5
28700,samsung,silver,128,android,mediatek,4K,6.6
20328,redmi,white,128,android,unknown,Full HD,6.7
4464,apple,silver,128,ios,apple,4K,5.5
3927,samsung,green,512,android,qualcomm,2K,6.8
11990,samsung,blue,128,android,samsung,HD,6.5
16999,redmi,blue,64,android,mediatek,Full HD,6.5
22999,redmi,blue,64,android,qualcomm,Full HD,6.4
30636,apple,silver,128,ios,apple,HD,4.7
28880,oneplus,grey,128,android,unknown,Full HD,6.7
25990,oneplus,grey,128,android,qualcomm,Full HD,6.4
28999,realme,green,256,android,mediatek,Full HD,6.4
73,apple,purple,256,ios,apple,Full HD,6.1
19990,oppo,white,256,android,mediatek,Full HD,6.5
19364,apple,silver,256,ios,apple,Full HD,5.5
12867,samsung,blue,128,android,samsung,HD,6.5
9199,infinix,blue,64,android,mediatek,HD,6.8
23352,tecno,black,256,android,unknown,4K,6.4
537,oneplus,black,256,android,unknown,2K,6.7
22999,oneplus,grey,256,android,qualcomm,Full HD,6.4
15999,redmi,white,64,android,qualcomm,Full HD,6.3
15990,oppo,blue,64,android,qualcomm,HD,6.2
26537,realme,white,256,android,mediatek,Full HD,6.7
11999,motorola,purple,64,android,qualcomm,HD,6.8
9990,vivo,blue,32,android,mediatek,HD,6.5
15537,oneplus,green,128,android,unknown,2K,6.7
22537,realme,blue,256,android,mediatek,Full HD,6.7
14499,samsung,white,64,android,mediatek,HD,6.5
16899,samsung,blue,128,android,unknown,4K,6.6
15537,realme,green,128,android,qualcomm,2K,6.7
24373,apple,gold,512,ios,apple,Full HD,6.1
8499,realme,blue,64,android,unisoc,HD,6.5
26927,apple,silver,512,ios,apple,Full HD,6.7
22990,oppo,gold,64,android,qualcomm,Full HD,6.0
17990,oneplus,black,128,android,unknown,Full HD,6.6
20999,redmi,black,256,android,qualcomm,Full HD,6.7
13990,oppo,purple,64,android,qualcomm,HD,6.2
7499,infinix,purple,32,android,mediatek,HD,6.8
24999,vivo,black,128,android,qualcomm,Full HD,6.4
18999,infinix,black,128,android,mediatek,Full HD,6.8
16990,vivo,black,64,android,qualcomm,Full HD,6.6
8990,oppo,purple,16,android,qualcomm,HD,6.2
3537,apple,green,128,ios,apple,Full HD,6.1
11999,realme,grey,128,android,unisoc,HD,6.5
25999,vivo,gold,256,android,mediatek,Full HD,6.4
8749,realme,green,64,android,unisoc,HD,6.5
20909,samsung,grey,128,android,qualcomm,HD,6.6
24537,samsung,black,128,android,unknown,Full HD,6.5
14999,infinix,gold,128,android,mediatek,Full HD,6.8
23537,xiaomi,black,256,android,qualcomm,Full HD,6.7
1537,vivo,blue,256,android,mediatek,Full HD,6.8
14499,samsung,black,128,android,samsung,4K,6.4
18600,samsung,blue,64,android,samsung,4K,6.4
10999,redmi,red,64,android,qualcomm,HD,6.2
8487,samsung,blue,32,android,samsung,HD,6.5
11537,apple,red,64,ios,apple,Full HD,6.1
19900,samsung,black,32,android,mediatek,Full HD,5.7
23537,apple,gold,16,ios,apple,HD,4.7
13550,realme,blue,128,android,unknown,4K,6.7
23036,oneplus,black,256,android,unknown,4K,6.6
24999,xiaomi,black,128,android,mediatek,Full HD,6.7
8499,realme,blue,32,android,mediatek,HD,6.2
13990,redmi,blue,64,android,unknown,Full HD,6.4
15999,infinix,green,128,android,mediatek,Full HD,7.0
10073,apple,purple,128,ios,apple,Full HD,6.1
17000,samsung,blue,64,android,qualcomm,HD,6.0
30373,apple,grey,256,ios,apple,Full HD,5.8
31551,samsung,black,256,android,samsung,Full HD,6.5
10499,samsung,green,128,android,samsung,Full HD,6.6
22300,samsung,gold,64,android,samsung,Full HD,6.0
9990,oppo,gold,64,android,mediatek,HD,6.6
11500,samsung,black,32,android,samsung,HD,5.6
16537,apple,grey,64,ios,apple,Full HD,5.5
6073,samsung,black,256,android,qualcomm,2K,6.8
29999,samsung,silver,128,android,samsung,Full HD,6.5
24999,vivo,blue,128,android,qualcomm,Full HD,6.4
10999,realme,blue,64,android,qualcomm,HD,6.5
29999,realme,black,128,android,mediatek,Full HD,6.5
6999,tecno,black,32,android,unisoc,HD,6.6
12999,motorola,blue,128,android,mediatek,Full HD,6.4
25537,oneplus,black,256,android,unknown,Full HD,6.6
14999,redmi,green,64,android,mediatek,Full HD,6.6
15999,infinix,blue,128,android,mediatek,Full HD,7.0
14235,samsung,blue,128,android,unknown,HD,6.5
8990,redmi,red,32,android,qualcomm,HD,6.3
7299,infinix,blue,64,android,unisoc,HD,6.6
1537,vivo,black,256,android,mediatek,Full HD,6.8
25490,vivo,black,128,android,unknown,Full HD,6.4
6999,redmi,gold,32,android,qualcomm,HD,5.0
9999,motorola,blue,32,android,mediatek,HD,5.5
9999,infinix,purple,64,android,mediatek,HD,6.5
11999,realme,blue,32,android,mediatek,HD,6.5
8990,realme,blue,16,android,qualcomm,HD,6.2
31073,apple,blue,512,ios,apple,Full HD,6.1
8999,realme,grey,64,android,mediatek,HD,6.5
5537,apple,silver,64,ios,apple,4K,5.5
12331,redmi,blue,128,android,unknown,Full HD,6.5
6999,redmi,gold,32,android,qualcomm,HD,5.0
23927,samsung,black,256,android,qualcomm,4K,7.6
19999,infinix,blue,128,android,mediatek,Full HD,6.8
12500,redmi,red,64,android,qualcomm,Full HD,6.0
20537,samsung,grey,256,android,qualcomm,Full HD,6.7
12999,mi,grey,16,android,qualcomm,Full HD,5.0
9772,apple,gold,256,ios,apple,Full HD,5.8
32000,samsung,red,128,android,qualcomm,4K,6.7
29990,oneplus,green,128,android,unknown,Full HD,6.5
8464,samsung,grey,64,android,qualcomm,2K,6.3
13499,redmi,gold,64,android,qualcomm,HD,6.0
16999,realme,black,128,android,qualcomm,Full HD,6.4
14100,redmi,black,64,android,unknown,Full HD,6.6
26073,samsung,black,512,android,qualcomm,Full HD,6.6
22999,realme,grey,128,android,qualcomm,Full HD,6.4
5999,redmi,grey,16,android,qualcomm,HD,5.0
6299,redmi,blue,32,android,mediatek,HD,6.5
12999,samsung,black,32,android,qualcomm,HD,6.4
9999,vivo,blue,32,android,mediatek,HD,6.5
19899,tecno,blue,128,android,mediatek,4K,6.7
11499,redmi,grey,128,android,mediatek,Full HD,6.5
15995,redmi,white,128,android,unknown,Full HD,6.4
31172,samsung,black,256,android,samsung,2K,6.9
30636,apple,black,128,ios,apple,HD,4.7
24490,oneplus,grey,64,android,qualcomm,Full HD,6.4
29990,apple,silver,32,ios,apple,HD,4.7
29999,oneplus,grey,128,android,unknown,Full HD,6.4
18546,vivo,black,256,android,qualcomm,Full HD,6.6
26464,apple,gold,128,ios,apple,4K,5.5
7329,redmi,green,64,android,unknown,Full HD,6.5
16390,redmi,white,128,android,unknown,HD,6.4
14999,oppo,gold,64,android,mediatek,HD,6.6
15999,infinix,green,128,android,mediatek,Full HD,6.7
10499,tecno,blue,64,android,mediatek,HD,6.3
9999,infinix,black,64,android,mediatek,HD,6.8
20990,vivo,blue,128,android,qualcomm,4K,6.4
5964,apple,gold,64,ios,apple,Full HD,5.5
20538,oneplus,silver,256,android,unknown,4K,6.6
15495,redmi,green,128,android,unknown,Full HD,6.6
17499,mi,gold,64,android,qualcomm,Full HD,6.0
19999,realme,blue,128,android,qualcomm,Full HD,6.7
8490,tecno,green,32,android,mediatek,HD,6.5
9999,redmi,white,64,android,qualcomm,HD,6.2
12999,vivo,blue,128,android,mediatek,Full HD,6.6
29999,oppo,black,128,android,qualcomm,Full HD,6.7
3536,apple,grey,16,ios,apple,HD,4.7
8990,redmi,green,32,android,unknown,HD,6.5
15499,tecno,black,128,android,mediatek,4K,6.8
24990,vivo,purple,128,android,qualcomm,Full HD,6.4
7430,samsung,black,32,android,mediatek,HD,6.5
14990,samsung,blue,64,android,samsung,Full HD,6.6
10870,motorola,red,64,android,mediatek,HD,6.5
13990,redmi,white,128,android,unknown,Full HD,6.7
9725,tecno,black,128,android,mediatek,HD,6.6
25781,oneplus,black,128,android,unknown,Full HD,6.7
30636,apple,gold,128,ios,apple,HD,4.7
24546,apple,black,256,ios,apple,HD,4.7
17990,samsung,blue,128,android,mediatek,HD,6.5
25636,apple,grey,64,ios,apple,HD,4.7
22636,apple,silver,128,ios,apple,Full HD,5.5
16499,redmi,white,128,android,mediatek,Full HD,6.4
29999,realme,green,256,android,mediatek,Full HD,6.7
18537,oneplus,silver,256,android,unknown,4K,6.6
29537,samsung,white,128,android,samsung,Full HD,6.5
16999,samsung,silver,128,android,qualcomm,HD,6.5
16490,vivo,black,128,android,qualcomm,Full HD,6.6
15990,vivo,blue,64,android,mediatek,HD,6.3
13999,motorola,grey,128,android,qualcomm,Full HD,6.6
12899,tecno,white,64,android,mediatek,HD,6.6
23999,redmi,black,128,android,unknown,Full HD,6.7
22990,oneplus,blue,128,android,unknown,Full HD,6.4
9999,infinix,black,64,android,mediatek,Full HD,6.7
19990,samsung,green,128,android,samsung,Full HD,6.6
23999,samsung,green,128,android,samsung,Full HD,6.7
7990,tecno,blue,64,android,mediatek,HD,6.5
18990,oppo,purple,128,android,qualcomm,HD,6.5
30862,oneplus,black,256,android,unknown,4K,6.7
7999,motorola,blue,64,android,mediatek,HD,6.5
18990,oppo,gold,64,android,mediatek,HD,5.5
11999,vivo,gold,32,android,mediatek,HD,6.5
22999,mi,black,128,android,qualcomm,Full HD,6.7
11537,apple,purple,64,ios,apple,Full HD,6.1
11500,samsung,blue,32,android,samsung,HD,5.6
24999,vivo,blue,128,android,mediatek,Full HD,6.4
25537,apple,grey,16,ios,apple,Full HD,5.5
9779,redmi,black,128,android,mediatek,HD,6.7
17464,samsung,black,128,android,samsung,2K,6.7
30658,oneplus,black,256,android,unknown,Full HD,6.7
17999,oppo,black,128,android,qualcomm,Full HD,6.6
20376,oppo,gold,128,android,qualcomm,Full HD,6.4
9999,infinix,white,64,android,mediatek,Full HD,6.7
8999,redmi,gold,32,android,qualcomm,HD,5.5
14999,redmi,black,128,android,mediatek,Full HD,6.5
9990,oppo,blue,32,android,mediatek,HD,6.5
14083,samsung,green,256,android,qualcomm,2K,6.8
10990,oppo,black,32,android,mediatek,HD,6.5
15990,oppo,blue,128,android,mediatek,HD,6.5
22990,oneplus,grey,128,android,unknown,Full HD,6.4
29990,vivo,white,128,android,mediatek,Full HD,6.4
26037,oneplus,black,128,android,unknown,Full HD,6.7
11000,samsung,black,32,android,mediatek,HD,6.2
23990,mi,silver,128,android,qualcomm,Full HD,6.7
31073,apple,red,512,ios,apple,Full HD,6.1
